id,name_zh_tw,name_ko,name_en,chef_zh_tw,chef_ko,chef_en,season,team,show_nickname_zh_tw,status,cuisine,district_zh_tw,neighborhood_zh_tw,address_zh_tw,average_price_krw,price_level,catchtable_available,catchtable_url,booking_mode,booking_difficulty,naver_map_url,google_maps_url,hataro_score,priority_tier,worth_detour,instagram_url,official_website,checked_at
restaurant-evett,Restaurant EVETT,에빗,Restaurant EVETT,Joseph Lidgerwood,조셉 리저우드,Joseph Lidgerwood,1,white-spoon,,open,現代韓式|精緻餐飲,江南區,狎鷗亭／新沙,首爾江南區島山大路45街10-5，1樓,300000,5,true,https://www.catchtable.net/shop/evett,reservation,5,https://naver.me/F2Zuq8j6,https://maps.app.goo.gl/Y7goTa5XoGff3mSR9,4.5,S,true,https://www.instagram.com/restaurantevett,https://restaurantevett.com/,2026-07-14
yun-seoul,Yun Seoul,윤서울,Yun Seoul,金度潤,김도윤,Kim Do-yoon,1,white-spoon,,open,現代韓式|發酵料理|精緻餐飲,江南區,狎鷗亭,首爾江南區宣陵路805，1樓,250000,5,true,https://www.catchtable.net/shop/yunseoul,reservation,5,https://naver.me/FIfsMdk6,https://maps.app.goo.gl/uJ7FXpuQJomcen7p6,5,S,true,https://www.instagram.com/yunseoul.restaurant,,2026-07-14
choi-dot,CHOI.,쵸이닷,CHOI. (Choi Dot),崔鉉碩,최현석,Choi Hyun-seok,1,white-spoon,,open,創意西餐|義式基底|精緻餐飲,江南區,清潭洞,首爾江南區島山大路457，Angsdom 大樓3樓,200000,5,true,https://www.catchtable.net/shop/choidot,reservation,4,https://naver.me/55rmarQu,https://maps.app.goo.gl/QrPhXJnyuCjgSkko9,4,A,true,https://www.instagram.com/choidot_official/,,2026-07-14
negi-dining-lounge,NEGI Dining Lounge,네기다이닝라운지,NEGI Dining Lounge,張皓俊,장호준,Jang Ho-joon,1,white-spoon,,open,現代日式|餐酒館,江南區,新沙洞,首爾江南區島山大路15街18，4樓,130000,4,true,https://www.catchtable.net/shop/negitong,reservation|phone-for-groups,4,https://naver.me/GYC924Qg,https://maps.app.goo.gl/ugpUnyakkTyNmhHr9,4,A,false,https://www.instagram.com/negi_dining_lounge,,2026-07-14
via-toledo-pasta-bar,VIA TOLEDO Pasta Bar,비아 톨레도 파스타바,VIA TOLEDO Pasta Bar,權聖晙,권성준,Kwon Seong-jun,1,black-spoon,拿坡里美味黑手黨,open,義大利料理|手工義大利麵|主廚套餐,龍山區,元曉路,首爾龍山區元曉路83街7-2，1樓,150000,4,true,https://www.catchtable.net/shop/viatoledo,reservation|instagram-announcement,5,https://naver.me/xcnarJcM,https://maps.app.goo.gl/1dCms99832XYj3Tc9,4.5,S,true,https://www.instagram.com/viatoledo_official/,,2026-07-14
trid,trid,트리드,trid,姜勝元,강승원,Kang Seung-won,1,black-spoon,三星,open,當代料理|精緻餐飲,江南區,清潭洞,首爾江南區宣陵路162街16，2樓,250000,5,true,https://www.catchtable.net/shop/trid,reservation,5,https://naver.me/5S9QJFdy,https://maps.app.goo.gl/F1mgCFUAgZL2kqku8,4,A,true,https://www.instagram.com/tridseoul,,2026-07-14
doryang,Doryang,도량,Doryang,林泰勳,임태훈,Lim Tae-hoon,1,black-spoon,鐵包料理師,open,中華料理|個人鍋,鐘路區,西村／景福宮,首爾鐘路區紫霞門路6街6,45000,2,true,https://www.catchtable.net/shop/dolyang,reservation|walk-in|onsite-waitlist,4,https://naver.me/FG7xdR6A,https://maps.app.goo.gl/hS8Nt73e19Xd6Gm19,4.5,A,true,https://www.instagram.com/doryang_restaurant/,,2026-07-14
chokwang201,ChoKwang201,조광201,ChoKwang201,趙光孝,조광효,Cho Kwang-hyo,1,black-spoon,漫畫男,open,四川料理|創意中華,松坡區,文井／長旨,首爾松坡區新馬路8街13,70000,3,true,https://www.catchtable.net/shop/cho__kwang,reservation,5,https://naver.me/5XJIY6zk,https://maps.app.goo.gl/WWRCQcEiWp3fRWGZA,4.5,A,true,https://www.instagram.com/cho__kwang/,,2026-07-14
soul-dining,SOUL,소울,SOUL,金熙恩,김희은,Kim Hee-eun,2,white-spoon,,open,當代韓式|精緻餐飲,龍山區,解放村,首爾龍山區新興路26街35，地下1樓,200000,5,true,https://www.catchtable.net/shop/souldining,reservation,5,https://naver.me/FdCxW0oV,https://maps.app.goo.gl/ZiDiLHGjLazGkjKZ8,4.5,S,true,https://www.instagram.com/souldining_seoul/,,2026-07-14
eatanic-garden,Eatanic Garden,이타닉 가든,Eatanic Garden,孫鍾元,손종원,Son Jong-won,2,white-spoon,,open,當代韓式|精緻餐飲,江南區,驛三洞,首爾江南區德黑蘭路231，Josun Palace 36樓,300000,5,true,https://www.catchtable.net/shop/eatanicgarden,reservation|phone-for-private-room,5,https://naver.me/GbDRmKbo,https://maps.app.goo.gl/kTkaZWuwVfyyFDE37,4,A,true,https://www.instagram.com/eatanicgarden/,https://jpg.josunhotel.com/dining/eatanicGarden.do,2026-07-14
